#id zspec zflag zphotz ra dec mag_sel
700247 9.9999 0 0.707 149.994583 1.839973 22.47
804719 0.6311 3.5 0.624 150.303101 1.712576 21.77
807815 0.3519 3.5 0.377 149.628418 1.660186 21.04
807980 0.7868 3.1 1.433 149.586426 1.769323 22.22
803416 0.3651 3.5 0.391 150.665405 1.635869 22.3
808114 9.9999 0 0.781 149.554932 1.644649 22.23
808492 0.7901 2.5 0.781 149.475815 1.692523 21.76
809969 0.6971 3.5 0.677 150.556747 1.79723 22.31
810695 1.0421 2.5 1.053 150.408875 1.928275 21.71
810795 9.9999 0 1.116 150.384369 1.942912 22.24
810998 0.3093 4.5 0.306 150.334671 1.795319 21.16
811292 0.5955 3.5 0.64 150.26712 1.842456 21.32
811484 0.2188 2.5 0.252 150.231308 1.942841 21.57
812005 0.3737 4.5 0.37 150.123322 1.945091 21.66
812063 0 4.4 0.064 150.112534 1.936976 20.44
812206 0.3599 1.5 0.433 150.077469 1.942035 22.32
812454 0.3392 4.5 0.422 150.022339 1.84176 19.65
812611 9.9999 0 0.313 149.98439 1.806091 21.52
823529 0.2548 2.5 0.284 150.382599 2.256596 19.3
812735 0.5282 3.5 0.572 149.950806 1.88787 22.14
813013 0.6679 3.5 0.648 149.890762 1.943591 21.06
813273 0.1231 4.5 0.144 149.824203 1.867786 22.01
813310 0.431 3.5 0.398 149.816269 1.935739 20.96
805516 0.1693 2.5 0.168 150.157043 1.726646 19.88
813466 0.6926 3.5 0.75 149.779053 1.904673 21.59
813593 0.6831 3.5 0.656 149.744766 1.832045 21.82
803371 0.3074 3.5 0.277 150.676193 1.696504 19.82
809207 0.8256 3.5 0.849 150.726562 1.795774 22.05
803744 0.6971 4.5 0.681 150.580627 1.790635 21.98
803960 0.5315 4.5 0.518 150.502213 1.761772 21.45
804025 9.9999 0 0.812 150.484818 1.781624 22.3
700632 0.6327 4.5 0.673 149.933273 2.115023 21.82
701826 9.9999 20 0.636 150.081665 2.576747 22.25
800509 0.2061 4.5 0.23 150.505997 1.61208 18.15
826699 0.9368 1.5 0.905 149.732254 2.282066 21.31
801659 0 3.4 0.02 150.008286 1.624264 20.15
802767 0 4.4 0.835 149.477402 1.622446 20.85
803070 0 4.4 0.1 150.756989 1.635014 20.56
802631 0.6411 4.5 0.632 149.555344 1.617392 20.86
812606 9.9999 0 0.156 149.985504 1.814234 22.35
804945 0.9101 2.5 0.794 150.254562 1.656476 21.85
805035 0.2751 9.5 0.284 150.23584 1.707408 20.8
823616 0.2547 2.5 0.29 150.361832 2.264764 18.81
805911 0.5287 3.5 0.488 150.059158 1.633794 19.09
806019 0.7368 3.5 0.694 150.037399 1.761993 21.43
804962 9.9999 0 0.84 150.251251 1.655949 21.63
805230 0.1334 9.1 0.246 150.201202 1.660622 20.18
805253 0.5792 3.5 0.544 150.197189 1.778049 22.25
808416 0.5535 4.5 0.552 149.489441 1.685292 21.85
805592 0.3363 3.5 0.323 150.137161 1.751562 21.37
806195 0.092 4.5 0.059 149.992188 1.668338 18.32
806201 0.3413 4.5 0.35 149.991791 1.766874 20.89
806263 0.6939 1.1 0.895 149.97879 1.657794 22.02
806333 0.0254 3.1 2.227 149.964005 1.707168 19.43
806706 0.6201 3.5 0.611 149.874908 1.728778 20.78
807091 0.7637 2.5 0.737 149.792374 1.758282 22.18
807213 0.5553 2.1 0.415 149.766174 1.665942 21.11
807230 0.6827 2.1 0.455 149.762085 1.767436 22.37
807308 0.9262 2.1 1.235 149.744461 1.634374 21.64
807391 0.9432 1.5 0.91 149.726654 1.765544 22.4
807439 0.6137 3.5 0.615 149.716476 1.790388 21.81
807761 9.9999 0 0.665 149.639206 1.673531 21.53
807819 0.6728 3.5 0.652 149.628098 1.778768 21.99
809544 0.6488 22.1 0.03 150.644592 1.811305 21.94
809729 0.4705 3.5 0.455 150.601685 1.868226 21.76
809863 0.6975 3.5 0.599 150.577026 1.802596 21.94
819157 0.4144 4.5 0.408 149.964127 1.991668 21.53
810738 0.8343 1.5 0.817 150.399551 1.847036 21.96
811159 0.3579 4.5 0.356 150.298141 1.922099 21.25
811169 0.827 3.5 0.803 150.294739 1.859981 22.18
811328 0.3613 4.5 0.419 150.258591 1.915326 20.4
811415 0.6212 4.5 0.648 150.242065 1.826618 21.77
811563 0.5341 4.5 0.541 150.215393 1.832232 20.79
819478 0.8961 3.5 0.891 149.89151 1.975491 21.7
811811 0.7251 4.5 0.702 150.15979 1.9523 21.74
811892 1.1757 1.5 1.105 150.143341 1.950119 22.43
812002 0.2308 4.4 -1 150.123642 1.817871 19.89
812128 0.8318 4.5 0.781 150.09346 1.880007 22.06
812273 0.4385 2.5 0.426 150.066574 1.956173 21.16
700273 0.3712 24.5 0.265 150.022873 1.826888 22.31
701312 1.0429 1.1 1.275 150.278122 2.420206 22.37
701736 0.9788 1.5 0.988 150.338989 2.563939 22.44
819802 0.3303 4.5 0.326 149.808456 1.973888 22.34
800827 0.2202 3.5 0.203 150.337265 1.608831 21.99
801906 0.6669 3.5 0.644 149.885666 1.625717 22.14
827023 0.2835 3.5 0.274 149.671112 2.187579 19.47
823313 0.8126 2.5 0.872 150.424942 2.242051 21.75
823468 0 2.4 0.607 150.394196 2.283914 22.16
823744 9.9999 0 1.235 150.339966 2.237269 22.26
823790 0 4.4 0.033 150.329468 2.290014 18.48
816462 0.8246 2.5 0.826 150.507812 2.12019 20.68
817186 0.3234 4.5 0.35 150.391144 2.084014 19.08
824606 0.1952 2.5 0.182 150.151398 2.221614 19.54
817197 0.9596 1.5 0.968 150.387772 1.963445 21.94
819106 0.3587 4.5 0.339 149.977081 2.060379 20.96
821167 0.2509 4.5 0.243 149.477051 2.098848 18.75
823420 0.0943 3.5 0.13 150.403488 2.215289 19.57
823530 9.9999 0 0.13 150.382416 2.225078 21.66
823762 0.4269 4.5 0.429 150.335876 2.206781 20.28
823900 1.0398 3.5 1.074 150.306183 2.200698 22.46
824023 0.9064 4.5 0.849 150.273712 2.184535 22.28
824043 0.8497 2.5 0.767 150.269455 2.207205 21.29
848116 0.8422 3.5 0.853 149.654587 2.747036 20.92
824083 0.3716 2.5 0.398 150.259613 2.209859 20.16
824140 0.7396 3.5 0.715 150.243393 2.273319 21.28
824159 9.9999 20 0.353 150.239975 2.207726 22.23
824216 0.6736 3.5 0.69 150.229019 2.157408 21.69
824282 0.3387 4.5 0.353 150.218307 2.127824 21.5
824308 0.8775 2.5 0.905 150.214539 2.280096 21.37
818952 0.5335 4.5 0.525 150.01915 2.081531 20.62
824344 0.2842 3.5 0.284 150.206879 2.184485 21.22
824348 0.4254 3.5 0.401 150.206009 2.132285 22.01
824398 0.5531 3.5 0.525 150.198074 2.194185 20.79
824476 0.6692 3.5 0.677 150.181091 2.158828 20.57
824516 0.4724 1.5 0.38 150.171127 2.194467 20.34
824631 0.6645 4.5 0.669 150.147003 2.19888 21.86
824664 0.3091 1.1 0.495 150.142181 2.240872 22.23
824687 0.9271 3.5 0.886 150.135681 2.19941 21.72
825648 0.3152 3.5 0.339 149.947601 2.142863 20.05
825686 0.7617 22.5 0.698 149.936554 2.226457 21.62
824691 9.9999 0 0.665 150.134644 2.177005 21.77
824740 0.804 2.5 0.84 150.122253 2.243495 21.73
827562 0.8661 1.5 0.785 149.563263 2.287289 21.45
824798 0.372 1.5 0.415 150.109756 2.223771 20.63
824830 0.5975 4.5 0.58 150.101395 2.206882 21.62
824923 0.3621 2.5 0.384 150.086121 2.292455 21.57
824968 0.8042 2.5 0.767 150.075516 2.173124 22.09
824999 0.2164 4.5 0.262 150.069427 2.271879 21.32
825007 0.1861 4.5 0.17 150.067566 2.233241 18.81
825108 9.9999 0 0.36 150.048676 2.21892 22.27
825193 0.9307 3.5 0.958 150.034683 2.233692 22.26
825238 0 4.4 0.17 150.027008 2.265163 18.2
825309 0.959 9.3 0.91 150.012238 2.138113 22.46
825385 0.9633 3.5 1.018 150.001236 2.153922 21.59
812655 0.3995 4.5 0.38 149.973999 1.843124 20.79
825428 0.66 3.5 0.648 149.992538 2.257458 21.73
825517 0.9378 3.5 0.948 149.97316 2.209478 22.47
827923 0.4332 4.5 0.48 149.467987 2.265665 20.52
825571 9.9999 20 0.652 149.962936 2.262063 21.72
825585 0.2814 4.5 0.316 149.960114 2.201315 19.26
825867 0.0837 4.5 0.1 149.902191 2.245903 20.83
825915 0.8858 9.5 0.84 149.893341 2.220048 22.47
826030 9.9999 0 0.384 149.871796 2.18281 21.88
844709 0.8022 2.5 0.746 150.359131 2.64996 22.25
826042 1.1774 3.1 1.47 149.868927 2.130142 22.33
826160 0.3522 2.5 0.343 149.845566 2.156084 21.75
826191 0.3548 3.5 0.35 149.840347 2.151679 21.23
826273 9.9999 0 0.185 149.82132 2.265091 20.93
806531 0.514 1.5 0.51 149.921524 1.759071 21.81
826343 0.481 4.5 0.469 149.805801 2.289434 20.2
826377 0.361 2.5 0.377 149.800247 2.188389 19.91
826453 0.3547 24.5 0.326 149.785919 2.172929 19.82
826659 0.5179 4.5 0.462 149.739899 2.225863 20.42
816495 0.8797 2.5 0.905 150.502274 1.971825 21.64
816590 0 3.4 0.051 150.486938 2.111293 22.14
816779 0.3207 3.5 0.333 150.453278 2.051981 22.04
817105 0.3123 4.5 0.268 150.403152 2.018989 22.07
817182 0.1662 4.5 0.15 150.391922 2.081398 21.59
809179 0.7983 2.5 0.83 150.734055 1.842259 22.09
817191 0.831 2.5 0.844 150.38945 1.984247 22.47
817395 9.9999 0 0.064 150.348495 2.021238 22.15
817475 0.1652 3.5 0.125 150.328796 1.97671 21.65
817743 0.3094 2.5 0.303 150.276779 1.986693 20.8
810953 0.5766 3.5 0.576 150.346237 1.850309 20.66
817799 0.2649 3.5 0.227 150.265503 2.110823 20.49
822936 0.5332 2.5 0.611 150.499527 2.267532 19.89
823082 0.9699 2.5 0.993 150.472382 2.201314 21.74
817471 0.123 9.5 0.139 150.329788 2.059457 21.45
830147 0.737 3.5 0.776 150.411789 2.31155 21.98
817557 0.1875 24.5 0.197 150.312485 2.092547 18.57
817742 1.239 2.5 1.191 150.276978 2.018113 22.14
817859 0.3816 3.5 0.394 150.251419 2.044532 19.42
817929 0 23.4 0.38 150.235916 2.115317 19.28
810955 0.6864 3.5 0.677 150.345505 1.871706 22.49
817958 0.3706 2.5 0.363 150.226654 1.998836 21.22
818094 1.9233 13.4 1.038 150.195587 2.004415 20.13
818313 0.2216 3.5 0.215 150.151413 2.024836 21.2
818541 0.1941 3.5 0.188 150.110733 2.049777 20.59
818592 0.4596 2.5 0.422 150.103577 2.019123 22.02
817865 0.7228 3.5 0.715 150.250504 1.980903 21.23
818020 0.3744 4.5 0.377 150.210266 2.074965 21.65
818160 0.347 3.5 0.384 150.182495 2.039336 20.27
818306 0.7344 4.5 0.728 150.152557 2.118116 22.48
814477 0.2631 3.5 0.262 149.551865 1.876033 22.43
818515 9.9999 0 0.125 150.115784 2.021415 22.09
818583 9.9999 0 0.915 150.104416 2.080042 21.54
818589 0.9355 3.5 0.924 150.103851 2.119201 22.4
818664 0.7349 4.5 0.754 150.090866 2.035514 21.4
807966 0.4604 3.5 0.462 149.590988 1.786331 20.53
818721 0.2214 3.5 0.159 150.077301 2.024225 18.17
818808 0.3397 3.5 0.339 150.054657 2.109445 19.43
834739 0.7458 4.5 0.715 149.51915 2.311012 21.49
818895 0.6624 2.5 0.556 150.034714 2.092032 22.36
819701 0.7347 4.5 0.711 149.837265 1.985901 21.51
818934 0.0779 4.5 0.111 150.024063 1.968651 21.4
818956 0.6685 3.5 0.686 150.018356 1.966416 20.76
819277 0.3414 3.5 0.398 149.936386 2.037195 20.03
819364 0.349 4.5 0.356 149.916061 2.052585 22.47
819430 0 4.4 0.644 149.901169 2.006155 21.91
828393 0.295 4.5 0.293 150.757065 2.334836 22.36
819507 0.6777 4.5 0.587 149.882965 2.117978 20.78
819625 0.698 4.5 0.707 149.856873 2.072064 21.26
819647 1.0332 9.1 1.321 149.851288 2.018443 22.43
829776 0.873 2.5 0.958 150.478592 2.349798 21.8
819967 0 4.4 0.111 149.760162 2.123339 17.75
820014 0.529 4.5 0.499 149.75209 2.056134 21.78
820098 0.5283 3.5 0.552 149.728363 2.122031 22.18
820287 0.4795 3.5 0.499 149.676102 2.097182 20.62
834171 0.3276 4.5 0.281 149.643127 2.297728 18.8
820292 0 22.4 0.514 149.675629 2.098564 21.03
820448 0.3563 2.5 0.333 149.637741 2.018384 21.78
820641 0.9746 2.5 0.915 149.594131 2.115751 22.41
820679 1.3548 18.4 0.01 149.58522 2.051113 19.82
834396 0.6512 3.5 0.632 149.599106 2.453305 22
820743 0.3836 2.5 0.415 149.570358 2.026449 21.51
821756 9.9999 0 1.558 150.739746 2.268026 22.36
821918 0.4376 4.5 0.44 150.700012 2.281353 21.49
822461 1.3435 13.4 0.491 150.581863 2.287697 21.29
850228 0.7706 3.5 0.803 150.399292 2.810823 21.87
838998 0.8841 2.5 0.867 150.094849 2.529732 22.28
839002 0.7519 23.5 0.785 150.093842 2.503934 20.45
839079 0.3428 3.5 0.343 150.081268 2.561828 20.87
839155 0.7266 2.5 0.812 150.064301 2.539794 21.66
800984 0.5955 4.5 0.648 150.286469 1.623921 22.07
839204 0.7008 3.5 0.673 150.056549 2.603359 22.36
839352 0.734 2.5 0.767 150.031067 2.526255 21.85
839391 0.9577 9.5 0.9 150.025375 2.603504 22.48
838330 0.0724 4.5 0.089 150.212204 2.536975 15
838805 0.3 4.5 0.353 150.12825 2.595686 20.79
828379 0.8143 2.5 0.891 150.758652 2.442352 21.43
828906 0.3276 4.5 0.339 150.650696 2.310627 22.48
829423 0.3654 4.5 0.297 150.553085 2.345364 21.11
829722 0 1.4 0.48 150.488586 2.392051 21.73
830043 0.9257 9.5 0.929 150.427689 2.352574 21.42
830127 0.3828 1.5 0.356 150.413651 2.40749 20.52
830263 9.9999 0 0.072 150.391052 2.385942 21.72
830374 0.0929 2.5 0.122 150.3759 2.332939 20.29
830430 0.8247 3.5 0.821 150.364944 2.311675 21.8
837378 0.3611 3.5 0.346 150.388474 2.576087 21.95
832426 0.5947 1.1 0.728 149.98056 2.411461 22.41
