id_zcosmos,zpec,cc,alpha,delta,mag_sel,id_photzi25,fuv_photzi25,nuv_photzi25,u_photzi25,eu_photzi25,b_photzi25,eb_photzi25,v_photzi25,ev_photzi25,g_photzi25,eg_photzi25,r_photzi25,er_photzi25,i_photzi25,ei_photzi25,z_photzi25,ez_photzi25,j_photzi25,ej_photzi25,k_photzi25,ek_photzi25,ic_photzi25,efuv_photzi25,enuv_photzi25,eic_photzi25,flag_maskb_photzi25,flag_maskv_photzi25,flag_maski_photzi25,flag_maskz_photzi25,flag_maskd_photzi25
847255,0.4067,3.5,149.854614,2.79006,22.2,1711802,25.0726044397387,24.3946044397387,24.304,0.054,23.77,0.041,23.047,0.025,23.835,0.038,22.703,0.021,22.429,0.019,22.203,0.021,22.476,0.03,21.726,0.04,22.442,0.179,0.12,0.129,0,0,0,0,0
847259,0.567,3.5,149.854279,2.784259,21.24,1711640,26.9416044397387,25.1156044397387,24.41,0.057,23.591,0.038,22.981,0.024,23.629,0.034,22.347,0.018,21.635,0.013,21.175,0.011,20.771,0.01,19.799,0.01,21.629,0.803,0.198,0.061,0,0,0,0,0
847260,0.2589,4.5,149.854141,2.632872,22.39,1734550,23.7416044397387,23.4556044397387,23.756,0.036,23.239,0.032,22.804,0.022,23.316,0.029,22.752,0.021,22.584,0.02,22.469,0.024,22.61,0.041,22.481,0.084,22.557,0.071,0.068,0.108,0,0,0,0,0
847261,0.944,9.5,149.854004,2.645057,22.41,1732881,-99,24.1646044397387,23.666,0.035,23.431,0.035,23.318,0.029,23.592,0.034,23.194,0.027,22.57,0.021,22.157,0.02,22.245,0.031,21.799,0.046,22.517,-99,0.13,0.105,0,0,0,0,0
847262,0.2693,2.5,149.853989,2.689705,20.68,1725973,-99,26.3056044397387,24.215,0.047,22.958,0.028,21.815,0.014,22.772,0.022,21.382,0.011,20.971,0.01,20.555,0.01,20.228,0.01,19.634,0.01,20.867,-99,0.638,0.028,0,0,0,0,0
847263,0.8904,3.5,149.85379,2.743831,21.22,1718304,-99,23.2136044397387,23.291,0.03,22.962,0.028,22.761,0.022,23.107,0.026,22.579,0.02,21.845,0.014,21.455,0.013,21.205,0.012,20.588,0.017,21.844,-99,0.066,0.075,0,0,0,0,0
847264,0.4795,4.5,149.853729,2.758923,21.9,1716232,23.1456044397387,22.3526044397387,22.703,0.022,22.446,0.022,22.288,0.017,22.702,0.021,22.321,0.017,21.91,0.014,22.064,0.019,22.471,0.03,21.803,0.048,21.888,0.043,0.025,0.079,0,0,0,0,0
847266,0.2698,3.5,149.853729,2.699016,19.61,1724603,-99,28.1886044397387,23.542,0.033,22.263,0.02,21.06,0.01,22.066,0.015,20.604,0.01,20.19,0.01,19.662,0.01,19.228,0.01,18.495,0.01,20.047,-99,4.107,0.014,7,0,0,0,0
847268,0.7017,4.5,149.853607,2.754014,22.08,1716879,27.3246044397387,24.4626044397387,23.744,0.038,23.28,0.032,23.09,0.025,23.46,0.031,22.704,0.021,22.171,0.016,21.917,0.017,22.038,0.022,21.365,0.033,22.168,1.001,0.138,0.101,0,0,0,0,0
847272,0.5674,4.5,149.853058,2.747514,21.49,1717797,24.1716044397387,22.4936044397387,22.803,0.023,22.45,0.022,22.307,0.017,22.678,0.021,22.039,0.015,21.725,0.013,21.632,0.015,21.685,0.016,21.202,0.028,21.707,0.093,0.03,0.067,0,0,0,0,0
847273,0.2682,2.5,149.852936,2.696055,20.78,1724605,26.4166044397387,25.5346044397387,24.09,0.044,22.921,0.027,21.848,0.014,22.77,0.022,21.47,0.012,21.009,0.01,20.683,0.01,20.482,0.01,19.878,0.01,21.002,0.555,0.329,0.031,0,0,0,0,0
847274,0.7014,4.5,149.852875,2.753989,21.87,1716881,25.2146044397387,22.9836044397387,23.163,0.028,22.776,0.025,22.652,0.021,22.964,0.024,22.363,0.018,21.955,0.015,21.755,0.016,21.954,0.021,21.265,0.03,21.983,0.163,0.037,0.086,0,0,0,0,0
847275,0.8884,4.1,149.852859,2.752077,22.37,1717164,-99,24.4986044397387,24.176,0.049,23.845,0.043,23.699,0.035,24.033,0.042,23.406,0.029,22.629,0.021,21.861,0.017,21.374,0.014,20.394,0.014,22.663,-99,0.182,0.158,0,0,0,0,0
847276,0.2698,2.5,149.852783,2.667802,20.54,1729438,24.1546044397387,23.4586044397387,23.433,0.031,22.597,0.023,21.764,0.013,22.501,0.019,21.498,0.012,21.107,0.01,20.823,0.01,20.693,0.011,20.117,0.011,21.11,0.074,0.072,0.034,0,0,0,0,0
847277,0.5972,4.5,149.852737,2.789114,22.31,1711633,24.1116044397387,22.8386044397387,23.153,0.028,22.923,0.027,22.9,0.023,23.173,0.027,22.746,0.021,22.388,0.018,22.597,0.028,22.647,0.034,22.291,0.067,22.359,0.093,0.035,0.121,0,0,0,0,0
847280,0.7016,4.5,149.852264,2.654481,21.28,1731267,27.2556044397387,24.6446044397387,23.456,0.031,22.828,0.026,22.388,0.018,22.752,0.022,22.069,0.015,21.488,0.012,21.143,0.011,21.018,0.013,19.999,0.01,21.451,1.054,0.345,0.041,0,5,0,0,0
847282,0.4011,4.5,149.851593,2.672644,21.79,1728796,24.1606044397387,23.1276044397387,23.196,0.027,22.843,0.026,22.339,0.018,22.861,0.023,22.16,0.016,21.977,0.015,21.698,0.015,21.895,0.026,21.318,0.03,22.005,0.074,0.043,0.077,0,0,0,0,0
