ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I
140467882,VVDS-J135612.60+051731.7,209.052507,5.2921502,0.6890,3,20.7315,-99.9,-99.9,-99,-99,-99,-99,99.99,99.99,20.7315,0.0169
140467959,VVDS-J135851.86+051736.6,209.716101,5.2935261,0.0000,4,21.0594,-99.9,-99.9,24.066917,0.096481,22.487997,0.025546,21.637155,0.025453,21.0594,0.0154
140468032,VVDS-J135643.64+051730.3,209.181849,5.2917727,0.0000,4,19.615,-99.9,-99.9,-99,-99,-99,-99,20.677232,0.010168,19.615,0.0086
140468303,VVDS-J140003.73+051739.2,210.015546,5.2942322,0.0000,4,20.203,-99.9,-99.9,24.282404,0.135882,22.695995,0.026789,99.99,99.99,20.2032,0.0078
140468330,VVDS-J135751.16+051737.0,209.463201,5.2936211,0.4790,3,20.2127,-99.9,-99.9,-99,-99,21.710281,0.017209,20.647098,0.010022,20.2127,0.0113
140468339,VVDS-J140040.28+051742.6,210.167861,5.2951677,0.0000,3,21.665,-99.9,-99.9,24.035768,0.068935,22.669233,0.034964,21.984666,0.015129,21.665,0.0295
140468354,VVDS-J135615.48+051740.1,209.064512,5.2944921,0.6893,3,22.096,-99.9,-99.9,-99,-99,-99,-99,22.648317,0.032861,22.096,0.0392
140468414,VVDS-J135753.68+051735.5,209.473694,5.2932024,0.6340,3,20.7707,-99.9,-99.9,-99,-99,21.790892,0.028452,21.132598,0.013743,20.7707,0.0115
140468546,VVDS-J135938.77+051738.3,209.911573,5.2939874,0.6394,4,20.3981,-99.9,-99.9,23.943424,0.081771,22.156721,0.021563,21.13647,0.018251,20.3981,0.0111
140468580,VVDS-J135739.46+051741.7,209.414427,5.2949376,0.7280,3,21.54,-99.9,-99.9,-99,-99,22.821804,0.043597,22.225534,0.028979,21.54,0.0316
140468586,VVDS-J135537.79+051738.3,208.907476,5.2939989,0.0000,3,20.4123,-99.9,-99.9,-99,-99,-99,-99,-99,-99,20.4123,0.0132
140468668,VVDS-J135626.55+051741.4,209.110644,5.294853,0.7295,23,21.4995,-99.9,-99.9,-99,-99,-99,-99,21.74118,0.020606,21.4995,0.0296
140468936,VVDS-J135814.95+051747.3,209.562301,5.296491,0.7240,3,21.8567,-99.9,-99.9,26.464764,0.506906,23.966673,0.080236,22.662311,0.031291,21.8567,0.0253
140468961,VVDS-J135546.43+051743.8,208.943496,5.2955064,0.8608,3,21.7471,-99.9,-99.9,-99,-99,-99,-99,-99,-99,21.7471,0.0358
140469041,VVDS-J135545.84+051746.5,208.941017,5.2962685,0.7972,3,22.1971,-99.9,-99.9,-99,-99,-99,-99,-99,-99,22.1971,0.0416
140469119,VVDS-J135919.59+051745.3,209.831636,5.2959421,0.6354,3,20.608,-99.9,-99.9,99.99,99.99,99.99,99.99,21.171199,0.018295,20.608,0.0128
140469129,VVDS-J135829.25+051747.7,209.621882,5.2965909,0.6353,4,22.3035,-99.9,-99.9,23.307434,0.052994,22.935572,0.037282,22.329841,0.026088,22.3035,0.0365
140469224,VVDS-J135753.18+051746.8,209.471594,5.2963598,0.4101,4,21.1927,-99.9,-99.9,-99,-99,21.266832,0.014878,21.04878,0.012489,21.1927,0.0159
140469233,VVDS-J135926.51+051740.6,209.860494,5.2946167,0.0000,3,18.1318,-99.9,-99.9,18.662294,0.004891,18.187422,0.002512,18.052932,0.003689,18.1318,0.0032
140469259,VVDS-J135842.52+051750.1,209.677171,5.2972553,0.6856,3,21.6463,-99.9,-99.9,99.99,99.99,23.619852,0.065232,22.469898,0.025031,21.6463,0.0262
140469392,VVDS-J135629.79+051750.2,209.124166,5.2972967,0.0000,3,21.5081,-99.9,-99.9,-99,-99,-99,-99,21.594104,0.016585,21.5081,0.0584
140469401,VVDS-J135752.65+051751.8,209.469408,5.2977297,0.4111,4,22.2316,-99.9,-99.9,-99,-99,22.327497,0.025763,22.090629,0.023531,22.2316,0.038
140469658,VVDS-J135539.32+051744.9,208.913874,5.2958097,0.3788,4,19.6348,-99.9,-99.9,-99,-99,-99,-99,-99,-99,19.6348,0.0092
